Province,Region
Bangkok,Central
Samut Prakan,Central
Nonthaburi,Central
Pathum Thani,Central
Phra Nakhon Si Ayutthaya,Central
Ang Thong,Central
Lopburi,Central
Sing Buri,Central
Chai Nat,Central
Saraburi,Central
Chonburi,Eastern
Rayong,Eastern
Chanthaburi,Eastern
Trat,Eastern
Chachoengsao,Eastern
Prachinburi,Eastern
Sa Kaeo,Eastern
Nakhon Nayok,Central
Nakhon Ratchasima,Northeastern
Buri Ram,Northeastern
Surin,Northeastern
Si Sa Ket,Northeastern
Ubon Ratchathani,Northeastern
Yasothon,Northeastern
Chaiyaphum,Northeastern
Amnat Charoen,Northeastern
Bueng Kan,Northeastern
Nong Bua Lamphu,Northeastern
Khon Kaen,Northeastern
Udon Thani,Northeastern
Loei,Northeastern
Nong Khai,Northeastern
Maha Sarakham,Northeastern
Roi Et,Northeastern
Kalasin,Northeastern
Sakon Nakhon,Northeastern
Nakhon Phanom,Northeastern
Mukdahan,Northeastern
Chiang Mai,Northern
Lamphun,Northern
Lampang,Northern
Uttaradit,Northern
Phrae,Northern
Nan,Northern
Phayao,Northern
Chiang Rai,Northern
Mae Hong Son,Northern
Nakhon Sawan,Central
Uthai Thani,Central
Kamphaeng Phet,Northern
Tak,Northern
Sukhothai,Northern
Phitsanulok,Northern
Phichit,Northern
Phetchabun,Northern
Ratchaburi,Western
Kanchanaburi,Western
Suphan Buri,Central
Nakhon Pathom,Central
Samut Sakhon,Central
Samut Songkhram,Central
Phetchaburi,Western
Prachuap Khiri Khan,Western
Nakhon Si Thammarat,Southern
Krabi,Southern
Phangnga,Southern
Phuket,Southern
Surat Thani,Southern
Ranong,Southern
Chumphon,Southern
Songkhla,Southern
Satun,Southern
Trang,Southern
Phatthalung,Southern
Pattani,Southern
Yala,Southern
Narathiwat,Southern
